,Brand,Product,Type,Avg Rating,Number of Reviews,Percentage Would Buy Again
0,MAC Cosmetics,Studio Fix Powder Plus Foundation,Powder,3.7,3938,0.66
1,bareMinerals,Bare Minerals ALL,Powder,2.9,3074,0.44
2,bareMinerals,"Bare Minerals in 1.2, fairly light",Powder,3.5,1152,0.59
3,L'Oreal Paris,Bare Naturale Powdered Mineral Foundation,Powder,3.5,1092,0.62
4,Physicians Formula,Mineral Wear Talc-Free Mineral Loose Powder,Powder,3.6,800,0.65
5,bareMinerals,Matte Foundation spf 15,Powder,3.4,762,0.59
6,Jane Iredale,Pure Pressed Base,Powder,4.0,664,0.72
7,Maybelline New York,Mineral Power Powder Foundation,Powder,3.2,639,0.55
8,Laura Mercier,Mineral Powder SPF 15,Powder,4.0,592,0.71
9,Everyday Minerals,Semi-Matte Foundation,Powder,3.8,550,0.68
10,CLINIQUE,Almost Powder Makeup SPF 15,Powder,3.9,455,0.71
11,Alima Pure,Satin Matte Mineral Foundation,Powder,4.0,451,0.72
12,LancÃ´me,Dual Finish Versatile Powder Makeup,Powder,3.8,434,0.68
13,benefit Cosmetics,Hello Flawless!,Powder,3.7,422,0.63
14,bareMinerals,BareMinerals Foundation,Powder,3.4,400,0.6
15,Everyday Minerals,Matte Foundation,Powder,3.8,397,0.68
16,Palladio Beauty,Herbal Dual Wet & Dry Foundation,Powder,4.1,389,0.77
17,Stila,Illuminating Powder Foundation,Powder,3.7,375,0.63
18,bareMinerals,Bare Minerals Foundation #2,Powder,3.4,369,0.55
19,Sheer Cover,Sheer Cover - Mineral Foundation,Powder,3.0,350,0.46
20,Neutrogena,Mineral Sheers Compact Powder Foundation (All Shades),Powder,3.7,329,0.66
21,MAKE UP FOR EVER,Duo Mat Powder foundation Powder,Powder,3.8,313,0.67
22,CLINIQUE,Perfectly Real Compact Powder Foundation,Powder,3.7,306,0.62
23,bareMinerals,Foundation - Medium Beige,Powder,3.5,293,0.57
24,Laura Geller New York,Balance-n-Brighten Baked Color Correcting Foundation ,Powder,3.8,289,0.63
25,Laura Mercier,Foundation Powder,Powder,4.0,282,0.7
26,REVLON,ColorStay Mineral Foundation,Powder,3.0,277,0.48
27,Jane Iredale,Amazing Base Loose Finishing Powder,Powder,3.8,273,0.65
28,EstÃ©e Lauder,Double Wear Stay-in-Place Powder Makeup,Powder,3.7,252,0.64
29,bareMinerals,Bare Minerals #1,Powder,3.5,240,0.62
30,Merle Norman,Ultra Powder Foundation,Powder,4.4,240,0.82
31,CLINIQUE,Superpowder Double Face Makeup,Powder,3.8,228,0.67
32,COVERGIRL,Clean (formerly Simply) Powder Foundation,Powder,3.9,220,0.72
33,SHISEIDO,The Makeup Powdery Foundation SPF 15 ,Powder,4.1,211,0.75
34,L'Oreal Paris,True Match Naturale Mineral Foundation,Powder,3.3,206,0.54
35,REVLON,ColorStay Aqua Mineral Makeup,Powder,3.1,202,0.52
36,GloMinerals,Pressed Base,Powder,4.1,196,0.79
37,Mary Kay,Mineral Powder Foundation,Powder,3.7,186,0.67
38,Merle Norman,Luxiva Purely Mineral Makeup,Powder,4.3,168,0.82
39,NYX Professional Makeup,Stay Matte But Not Flat Powder Foundation,Powder,3.1,163,0.48
40,REVLON,ColorStay Pressed powder,Powder,3.2,155,0.5
41,NARS Cosmetics,Powder Foundation,Powder,3.9,155,0.65
42,bareMinerals,Bare Minerals Foundation #3,Powder,3.3,144,0.54
43,Cover FX,Cover Fx - Powder Fx,Powder,3.8,137,0.62
44,Prescriptives,AnyWear Multi-finish compact foundation ,Powder,4.0,137,0.71
45,AVEDA,Dual Base Minus Oil,Powder,4.0,133,0.71
46,Physicians Formula,Mineral Wear Talc-Free Mineral Airbrushing Pressed Powder SPF 30,Powder,3.7,132,0.64
47,bareMinerals,Original SPF 15 Foundation,Powder,3.5,131,0.58
48,La Prairie,Cellular Treatment Foundation Powder,Powder,4.4,126,0.76
49,Avon,Smooth Mineral Make-up,Powder,3.3,124,0.58
50,Nude by Nature,Natural Mineral Cover,Powder,3.6,121,0.62
51,mark.,Powder Buff powder foundation,Powder,3.9,110,0.69
52,AVEDA,Inner Light Dual Foundation,Powder,4.0,106,0.76
53,Aziza,Cream to powder foundation,Powder,3.8,106,0.78
54,Tarte Cosmetics,Amazonian Clay Full Coverage Airbrush Foundation Powder,Powder,3.7,106,0.64
55,PUR Cosmetics,4-in-1 Pressed Mineral Makeup (new formula),Powder,3.7,104,0.65
56,MAKE UP FOR EVER,Pro Finish Multi-Use Powder Foundation,Powder,3.7,104,0.62
57,It Cosmetics,Celebration Foundation,Powder,3.8,103,0.66
58,COVERGIRL,CoverGirl Ultimate Finish Cream to Powder Makeup,Powder,2.8,101,0.47
59,bareMinerals,BareMinerals Feather Light Mineral Veil,Powder,3.1,99,0.49
60,Prestige,Skin Loving Minerals Gentle Finish Mineral Powder Foundation,Powder,4.0,98,0.73
61,MILANI,Even-Touch Powder Foundation,Powder,3.7,97,0.65
62,CHANEL,Les Beiges - Healthy Glow Sheer Powder,Powder,3.6,95,0.55
63,Silk Naturals,Mineral Foundation,Powder,4.2,93,0.8
64,SHISEIDO,Perfect Smoothing Compact Foundation SPF 15,Powder,3.9,93,0.68
65,Max Factor,Facefinity Compact,Powder,4.0,90,0.8
66,bareMinerals,#1 and #2,Powder,3.1,89,0.44
67,Sephora Collection,Matifying Powder Foundation,Powder,3.5,89,0.58
68,Australis,Fresh & Flawless Pressed Powder,Powder,4.5,89,0.92
69,Dior,DiorSkin Compact Makeup,Powder,3.8,88,0.63
70,Meow Cosmetics,Flawless Feline Mineral Foundation,Powder,3.8,88,0.65
71,Physicians Formula,Organic Wear Translucent Light Organics Loose Powder,Powder,3.3,87,0.5
72,Prescriptives,All Skins Mineral Foundation spf 15,Powder,3.9,87,0.68
73,Urban Decay,Surreal Skin Foundation,Powder,3.5,86,0.6
74,Pure Luxe Cosmetics,Mineral Powder Foundation,Powder,3.9,85,0.68
75,Smashbox,Photo Finish Primer,Primer/ Corrector,3.2,1830,0.46
76,benefit Cosmetics,The POREfessional Face Primer,Primer/ Corrector,3.4,1065,0.52
77,benefit Cosmetics,Dr Feelgood,Primer/ Corrector,2.4,963,0.31
78,L'Oreal Paris,Studio Secrets Magic Perfecting Base,Primer/ Corrector,3.4,931,0.57
79,Monistat,Chafing Relief Powder-Gel,Primer/ Corrector,3.9,900,0.75
80,Yves Saint Laurent,Touche Eclat (Radiant Touch),Primer/ Corrector,3.7,899,0.64
81,MAC Cosmetics,Prep + Prime Skin,Primer/ Corrector,3.3,758,0.53
82,Urban Decay,All Nighter Makeup Setting Spray,Primer/ Corrector,3.9,686,0.69
83,RIMMEL,Fix and Perfect Foundation Primer,Primer/ Corrector,3.0,529,0.47
84,benefit Cosmetics,"""That Gal"" Brightening Face Primer",Primer/ Corrector,3.2,526,0.44
85,MAC Cosmetics,Prep + Prime Face Protect SPF 50,Primer/ Corrector,3.8,516,0.66
86,Maybelline New York,Baby Skin Instant Pore Eraser,Primer/ Corrector,2.7,475,0.39
87,Hourglass Cosmetics,Veil Mineral Primer SPF 15,Primer/ Corrector,3.7,473,0.61
88,Smashbox,Photo Finish Light,Primer/ Corrector,3.4,466,0.55
89,Laura Mercier,Foundation Primer,Primer/ Corrector,2.9,452,0.41
90,bareMinerals,Bare Minerals Prime Time,Primer/ Corrector,3.6,433,0.6
91,Philosophy,The Present  Clear Makeup,Primer/ Corrector,3.4,416,0.53
92,e.l.f. Cosmetics,Mineral Infused Face Primer,Primer/ Corrector,3.5,410,0.61
93,Hard Candy,Sheer Envy Primer,Primer/ Corrector,3.6,390,0.65
94,Avon,MagiX Face Perfector,Primer/ Corrector,3.7,384,0.67
95,Urban Decay,De-Slick Oil Control Makeup Setting Spray,Primer/ Corrector,3.4,354,0.53
96,CLARINS,Instant Smooth Perfecting Touch,Primer/ Corrector,3.9,333,0.66
97,bareMinerals,Bare Vitamins Skin Rever Upper,Primer/ Corrector,3.2,318,0.46
98,REVLON,PhotoReady Perfecting Primer (color 001),Primer/ Corrector,3.5,310,0.58
99,Too Faced,Primed & Poreless Skin Smoothing Face Primer,Primer/ Corrector,3.7,276,0.61
100,Laura Geller New York,Spackle Under Makeup Primer,Primer/ Corrector,3.1,256,0.47
101,L'Oreal Paris,Paris Studio Secrets Magic Lumi Light Infusing Primer,Primer/ Corrector,3.9,251,0.7
102,DHC,Velvet Skin Coat,Primer/ Corrector,3.8,239,0.65
103,Laura Mercier,Foundation Primer Oil -Free,Primer/ Corrector,2.9,208,0.45
104,LancÃ´me,La Base Pro,Primer/ Corrector,3.7,200,0.58
105,L'Oreal Paris,Revitalift Miracle Blur ,Primer/ Corrector,3.1,198,0.5
106,No Brand (DIY or homemade),Milk of Magnesia as Primer,Primer/ Corrector,3.9,197,0.7
107,RIMMEL,Stay Matte Primer,Primer/ Corrector,3.5,196,0.58
108,RIMMEL,Fix & Perfect Pro Primer,Primer/ Corrector,3.8,186,0.72
109,MAC Cosmetics,Matte,Primer/ Corrector,3.6,179,0.61
110,NARS Cosmetics,Makeup primer,Primer/ Corrector,3.2,178,0.43
111,REVLON,Beyond Natural Smoothing Primer,Primer/ Corrector,2.8,166,0.42
112,Maybelline New York,Maybelline Coverstick Corrector Concealer,Primer/ Corrector,3.1,162,0.59
113,Napoleon Perdis,Auto Pilot Pre-Foundation Skin Primer,Primer/ Corrector,3.2,159,0.49
114,Maybelline New York,Instant Age Rewind Primer Skin Transformer,Primer/ Corrector,3.6,155,0.65
115,GOSH,Velvet Touch foundation primer,Primer/ Corrector,3.6,153,0.64
116,NYX Professional Makeup,Makeup Setting Spray - Matte Finish,Primer/ Corrector,3.4,152,0.59
117,Urban Decay,Complexion Primer Potion - Pore Perfecting,Primer/ Corrector,3.0,149,0.38
118,MAKE UP FOR EVER,HD Microperfecting Primer,Primer/ Corrector,3.3,147,0.49
119,BECCA,Ever-Matte Poreless Priming Perfector,Primer/ Corrector,3.5,147,0.59
120,Smashbox,Photo Finish Primer SPF 15 with Dermaxyl,Primer/ Corrector,3.1,145,0.43
121,bareMinerals,Prime Time Oil Control,Primer/ Corrector,2.0,139,0.29
122,Smashbox,Photo Finish Color Correcting Foundation Primer- Smashing Color Adjust,Primer/ Corrector,3.3,130,0.5
123,Skindinavia,Makeup Finishing Spray,Primer/ Corrector,4.0,130,0.71
124,NYX Professional Makeup,Dewy Finish Setting Spray,Primer/ Corrector,3.5,130,0.63
125,Too Faced,Hangover Rx Replenishing Face Primer,Primer/ Corrector,3.7,130,0.59
126,Agnes B.,Apricot Complexion Enhancer / L'Embellisseur Abricot,Primer/ Corrector,2.7,124,0.43
127,Ben Nye,Final Seal,Primer/ Corrector,4.3,121,0.87
128,LORAC,Aquaprime,Primer/ Corrector,3.3,117,0.55
129,CHANEL,Le Blanc de Chanel Sheer Illuminating Base,Primer/ Corrector,3.9,116,0.68
130,KORRES Natural Products,Silicone-Free Face Primer,Primer/ Corrector,3.3,115,0.5
131,MAKE UP FOR EVER,HD Microperfecting Primer in 1 Green,Primer/ Corrector,3.3,113,0.52
132,MAKE UP FOR EVER,HD Microperfecting Primer in 0 Neutral,Primer/ Corrector,3.2,111,0.47
133,L'Oreal Paris,Studio Secrets Anti-Redness Primer,Primer/ Corrector,2.9,111,0.45
134,Giorgio Armani,Master Corrector,Primer/ Corrector,4.5,111,0.84
135,Almay,Smart Shade Perfect & Correct Primer,Primer/ Corrector,2.3,109,0.26
136,Neutrogena,Shine Control Primer,Primer/ Corrector,3.3,109,0.56
137,MAC Cosmetics,Prep + Prime Skin Refined Zone,Primer/ Corrector,3.4,107,0.55
138,Laura Mercier,Foundation Primer Radiance,Primer/ Corrector,3.9,106,0.66
139,Lise Watier,Portfolio,Primer/ Corrector,3.9,104,0.65
140,Peter Thomas Roth,Max Anti-Shine Mattifying Gel,Primer/ Corrector,3.2,104,0.48
141,shu uemura,UV Under Base Mousse,Primer/ Corrector,3.5,103,0.55
142,Philosophy,the supernatural poreless flawless spf 15,Primer/ Corrector,3.6,100,0.59
143,NYX Professional Makeup,Pore Filler,Primer/ Corrector,3.1,100,0.52
144,Mary Kay,Oil Mattifier,Primer/ Corrector,3.8,97,0.71
145,Boots ,Mattifying Make-up Base ,Primer/ Corrector,3.1,96,0.58
146,Too Faced,Primed & Poreless Powder,Primer/ Corrector,4.0,96,0.73
147,Pure Luxe Cosmetics,Eraser,Primer/ Corrector,3.9,95,0.75
148,Tarte Cosmetics,Clean Slate Poreless 12 hr Perfecting Primer,Primer/ Corrector,3.7,95,0.67
149,CLINIQUE,Redness Solutions Daily Protective Base,Primer/ Corrector,3.2,93,0.47
150,Maybelline New York,Fit Me Shine-Free Foundation Stick,Stick,3.3,424,0.57
151,Max Factor,PAN - STICK,Stick,3.9,382,0.74
152,Bobbi Brown,Skin Foundation Stick,Stick,3.5,150,0.56
153,SHISEIDO,The makeup Stick Foundation,Stick,4.0,123,0.71
154,Hourglass Cosmetics,Vanish Seamless Finish Foundation Stick,Stick,3.4,101,0.54
155,MAKE UP FOR EVER,Ultra HD Invisible Cover Stick Foundation,Stick,3.8,98,0.65
156,Black Opal,True Color Creme Stick Foundation,Stick,4.0,71,0.76
157,Iman,Second To None Stick Foundation,Stick,3.8,71,0.73
158,TOM FORD,Traceless Foundation Stick,Stick,4.1,52,0.63
159,LancÃ´me,Teint Idole Ultra Longwear Foundation Stick,Stick,4.1,50,0.7
160,REVLON,Photoready Insta-Fix Makeup SPF 20,Stick,3.8,48,0.62
161,Kryolan,TV Paint Stick,Stick,4.3,46,0.91
162,Vichy,Dermablend Ultra Corrective Cream Stick,Stick,3.9,43,0.65
163,Napoleon Perdis,Stick Foundation,Stick,3.8,42,0.66
164,shu uemura,Nobara cream cover stick,Stick,4.3,38,0.78
165,Anastasia Beverly Hills,Foundation Stick,Stick,3.2,29,0.44
166,Bite Beauty,Multistick,Stick,3.8,26,0.65
167,L.A. COLORS,Mystic foundation/concealer stick,Stick,4.1,20,0.85
168,e.l.f. Cosmetics,Moisturizing Foundation Stick,Stick,2.7,18,0.44
169,MyChelle,Cream Foundation,Stick,3.8,17,0.64
170,Unlisted Brand,W3LL People Narcissist ,Stick,4.0,14,0.71
171,Physicians Formula,Super BB All-in-1 Beauty Balm Stick,Stick,4.0,14,0.78
172,Sonia Kashuk,Undetectable Foundation Stick,Stick,2.8,13,0.53
173,CLINIQUE,Chubby in the Nude Foundation Stick,Stick,4.3,11,0.63
174,Pixi,Flawless Beauty Stick,Stick,2.5,10,0.3
175,Laura Mercier,Tinted Moisturizer SPF 20,Tinted Moisturizer,3.8,1396,0.64
176,Laura Mercier,Tinted Moisturizer SPF 20 - Oil Free,Tinted Moisturizer,3.5,674,0.55
177,Neutrogena,Healthy Skin Enhancer SPF 20,Tinted Moisturizer,3.7,597,0.66
178,Tarte Cosmetics,Amazonian Clay BB Tinted Moisturizer Broad Spectrum SPF 20 Sunscreen,Tinted Moisturizer,4.0,547,0.7
179,NARS Cosmetics,Pure Radiant Tinted Moisturizer Broad Spectrum SPF 30,Tinted Moisturizer,4.0,530,0.7
180,COVERGIRL,CG Smoothers Tinted Moisturizer Fair to Light,Tinted Moisturizer,3.6,356,0.66
181,COVERGIRL,CG Smoothers Tinted Moisturizer in Light to Medium,Tinted Moisturizer,3.9,336,0.74
182,bareMinerals, Complexion Rescue Tinted Hydrating Gel Cream,Tinted Moisturizer,3.4,282,0.55
183,benefit Cosmetics,You Rebel,Tinted Moisturizer,2.9,240,0.42
184,Smashbox,Sheer Focus Tinted Moisturizer SPF 15,Tinted Moisturizer,3.8,227,0.63
185,theBalm Cosmetics,BalmShelter Tinted Moisturizer SPF 18,Tinted Moisturizer,4.1,223,0.77
186,Aveeno,Positively Radiant CC Cream SPF 30,Tinted Moisturizer,3.0,223,0.44
187,Bobbi Brown,Extra Spf 25 Tinted Moisturizing Balm,Tinted Moisturizer,3.7,221,0.61
188,benefit Cosmetics,You Rebel Lite Tinted Moisturizer SPF 15,Tinted Moisturizer,2.9,220,0.4
189,e.l.f. Cosmetics,"Studio Tinted Moisturizer 
SPF 20",Tinted Moisturizer,2.9,211,0.45
190,Stila,Illuminating Tinted Moisturizer,Tinted Moisturizer,3.5,211,0.61
191,Hard Candy,Sheer Envy Tinted Moisturizer spf15,Tinted Moisturizer,3.4,193,0.58
192,Laura Mercier,Tinted Moisturizer SPF 20 - Illuminating,Tinted Moisturizer,3.7,183,0.64
193,Physicians Formula,Organic Wear - Light to Natural ,Tinted Moisturizer,3.2,179,0.49
194,Physicians Formula,Healthy Wear SPF 50 Tinted Moisturizer,Tinted Moisturizer,3.6,175,0.68
195,CLINIQUE,Moisture Surge Tinted Moisturizer SPF15,Tinted Moisturizer,3.8,164,0.64
196,LUSH,Colour Supplement,Tinted Moisturizer,3.8,154,0.72
197,Sonia Kashuk,Radiant Tinted Moisturizer SPF 15 (tube),Tinted Moisturizer,3.5,154,0.62
198,COVERGIRL,Cover Girl CG Smoothers Tinted Moisturizer SPF 15,Tinted Moisturizer,3.9,154,0.74
199,wet n wild,Ultimate Sheer Tinted Moisturizer - Natural,Tinted Moisturizer,3.7,149,0.71
200,AVEDA,Aveda Inner-Light Mineral Tinted Moisture SPF15,Tinted Moisturizer,3.4,135,0.57
201,Neutrogena,Healthy Defense Daily Moisturizer Light Tint SPF 30,Tinted Moisturizer,2.3,119,0.25
202,wet n wild,Ultimate Sheer Tinted Moisturizer - Sunkissed,Tinted Moisturizer,4.1,112,0.76
203,CHANTECAILLE,Just Skin Tinted Moisturizer Sunscreen Broad Spectrum SPF 15,Tinted Moisturizer,4.0,105,0.67
204,NIVEA,Tinted Moisturizer,Tinted Moisturizer,3.0,99,0.51
205,Pixi,illuminating tint & conceal,Tinted Moisturizer,4.1,96,0.76
206,Glossier,Perfecting Skin Tint,Tinted Moisturizer,3.6,95,0.6
207,Olay,Definity Color Recapture with SPF 15,Tinted Moisturizer,3.0,94,0.45
208,wet n wild,Ultimate Sheer Tinted Moisturizer - Nude,Tinted Moisturizer,3.5,93,0.62
209,NARS Cosmetics,Velvet matte skin tint,Tinted Moisturizer,3.1,93,0.43
210,Josie Maran Cosmetics,Tinted Moisturizer,Tinted Moisturizer,3.3,90,0.51
211,Sonia Kashuk,Radiant Tinted Moisturizer SPF 15  ,Tinted Moisturizer,4.3,85,0.8
212,Physicians Formula,Organic Wear,Tinted Moisturizer,3.4,83,0.55
213,Hourglass Cosmetics,Illusion Tinted Moisturizer Oil Free SPF 15,Tinted Moisturizer,3.5,79,0.46
214,Jane Cosmetics,nearly foundation SPF 30,Tinted Moisturizer,2.6,79,0.39
215,Mary Kay,Tinted Moisturizer with Sunscreen SPF 20,Tinted Moisturizer,3.6,75,0.61
216,COVERGIRL,CG Smoothers Tinted Moisturizer - Medium to Dark,Tinted Moisturizer,3.9,73,0.78
217,Jane Iredale,Dream Tint,Tinted Moisturizer,3.5,73,0.57
218,e.l.f. Cosmetics,Tinted Moisturizer Spf 15,Tinted Moisturizer,3.1,71,0.5
219,Olay,Total Effects 7-in-1 Anti-Aging UV Moisturizer Plus Touch Of Foundation,Tinted Moisturizer,3.2,69,0.5
220,Dermalogica,Sheer Tint Moisturiser SPF 15,Tinted Moisturizer,4.1,69,0.72
221,Sephora Collection,Tinted Moisturizer,Tinted Moisturizer,2.8,69,0.37
222,LORAC,protecTINT SPF30 Oil-Free Tinted Moisturizer,Tinted Moisturizer,3.3,68,0.54
223,Dr. Dennis Gross Skincare ,All-In-One Tinted Moisturizer,Tinted Moisturizer,3.8,68,0.6
224,Elizabeth Arden,Sheer Lights tinted moisturizer,Tinted Moisturizer,3.5,67,0.55
225,KORRES Natural Products,Korres Watermelon Lightweight Tinted Moisturizer,Tinted Moisturizer,3.2,67,0.52
226,Dr. Hauschka,Toned Day Cream,Tinted Moisturizer,3.8,66,0.69
227,Bobbi Brown,Oil Free Tinted Moisturizer (Spring 2011),Tinted Moisturizer,3.8,66,0.66
228,Merle Norman,Luxiva Sheer Defense Tinted Moisturizer,Tinted Moisturizer,4.3,65,0.76
